Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60784757,Birnam Wood,Eleanor Catton,"Catton, Eleanor",,"=""0374110336""","=""9780374110338""",0,3.84,"Farrar, Straus and Giroux",Hardcover,432,2023,2023,,2023/09/25,currently-reading,currently-reading (#2),currently-reading,,,,1,0
41015154,The Bookshop,Penelope Fitzgerald,"Fitzgerald, Penelope",,"=""""","=""""",4,3.28,Mariner Books,Kindle Edition,163,2013,1978,2024/01/03,2024/01/03,,,read,,,,1,0
180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""0802162177""","=""9780802162175""",0,4.49,Grove Press,Hardcover,724,2023,2023,,2023/12/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
34816471,Woolf’un İzinde,Ertuğ Uçar,"Uçar, Ertuğ",,"=""975073453X""","=""9789750734533""",4,3.57,Can Yayınları,Paperback,96,2017,2017,2024/01/01,2024/01/01,,,read,,,,1,0
35115978,Kumların Kadını,Kōbō Abe,"Abe, Kōbō",Barış Bayıksel,"=""6055159562""","=""9786055159566""",3,3.90,Monokl Yayınları,Paperback,174,2017,1962,2023/12/31,2023/12/31,,,read,,,,1,0
45188771,İntihar Kulübü,Robert Louis Stevenson,"Stevenson, Robert Louis",Aslıhan Kuzucan,"=""""","=""""",2,3.43,İthaki Yayınları,Paperback,102,2019,1878,2023/12/30,2023/12/30,,,read,,,,1,0
52199748,Canavar,Stephen Crane,"Crane, Stephen",Osman Çakmakçı,"=""605295941X""","=""9786052959411""",2,3.38,Türkiye İş Bankası Kültür Yayınları,Paperback,80,2019,1898,2023/12/30,2023/12/30,,,read,,,,1,0
200525978,Villon'un Karısı,Osamu Dazai,"Dazai, Osamu",Esin ESEN,"=""""","=""9786256462120""",4,3.87,Sel Yayıncılık,Paperback,112,2023,1947,2023/12/29,2023/12/29,,,read,,,,1,0
201043975,Mal Sayımı,Erlend Loe,"Loe, Erlend",Dilek Başak,"=""""","=""9789750859212""",3,3.48,Yapı Kredi Yayınları,Paperback,112,2023,2013,2023/12/27,2023/12/27,,,read,,,,1,0
11112894,"İnce Memed 1 (İnce Memed, #1)",Yaşar Kemal,"Kemal, Yaşar",,"=""9750807146""","=""9789750807145""",5,4.48,Yapı Kredi Yayınları,Paperback,436,2004,1955,2023/12/26,2023/12/15,aarhus,aarhus (#315),read,,,,1,0
125631674,İşte Geldim Deniz Kenarı,Selçuk Altun,"Altun, Selçuk",,"=""6254293870""","=""9786254293870""",3,4.14,Türkiye İş Bankası Kültür Yayınları,Paperback,176,2023,2023,2023/12/25,2023/12/23,,,read,,,,1,0
